[Datalogging: Item = 0 | Slave index = 0 (Execute 1) | Experiment index = 0 (Read All (Barebone))]
Timestamp,Timestamp (ms),accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,strain,analog_0,analog_1,current,enc-disp,enc-cont,enc-comm,VB,VG,Temp,Status1,Status2
Mon Sep 26 15:14:38 2016,2,-3804,526,7102,66,2,-31,13203,1067,1021,444,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,7,-3802,522,7068,58,0,-22,13264,1068,1022,445,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,16,-3816,506,7116,58,-8,-21,12274,1065,1019,453,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,27,-3802,514,7092,50,-10,-37,12124,1060,1016,437,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:38 2016,37,-3786,536,7126,54,-11,-36,12212,1070,1020,428,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,47,-3800,548,7036,48,1,-41,12092,1061,1016,446,0,0,0,199,206,130,2,1
Mon Sep 26 15:14:38 2016,57,-3794,522,7158,46,-3,-33,12244,1069,1022,430,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,67,-3806,506,7148,54,-7,-36,12098,1060,1016,441,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,77,-3828,492,7104,53,-9,-39,12297,1068,1022,445,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,87,-3820,526,7082,48,-21,-30,12102,1060,1016,449,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:38 2016,97,-3776,522,7150,46,-6,-41,12183,1069,1019,430,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,107,-3854,512,7140,50,-1,-12,12066,1060,1017,434,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,117,-3804,510,7136,62,1,-7,12154,1067,1019,445,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,127,-3746,524,7132,73,22,-15,12067,1060,1017,444,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,137,-3834,514,7122,72,16,-16,12164,1067,1019,437,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,147,-3820,498,7182,75,14,-15,12084,1063,1017,448,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,157,-3822,534,7112,77,20,-15,12103,1061,1018,438,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,167,-3836,506,7114,81,17,-12,12012,1059,1017,447,0,0,0,199,206,131,2,1
Mon Sep 26 15:14:38 2016,177,-3852,502,7162,93,19,-11,12067,1061,1018,449,0,0,0,199,206,131,2,1
